"ascendency","id","gender","gen"
288,"LT2P-892","Male",9
289,"GN2S-FWH","Female",9
290,"LF7P-WWJ","Male",9
291,"KNWT-TPD","Female",9
292,"GW6J-918","Male",9
293,"LH57-NXR","Female",9
300,"L6C1-MB7","Male",9
301,"L6C1-QMY","Female",9
304,"LX3V-GQV","Male",9
305,"LHG8-43J","Female",9
306,"GNH1-STG","Male",9
307,"KN78-1BK","Female",9
308,"G97P-9D2","Male",9
312,"9J88-2PP","Male",9
313,"MBCS-6T1","Female",9
314,"LRQQ-RXN","Male",9
315,"9CKZ-WZV","Female",9
320,"2759-854","Male",9
321,"2759-XPY","Female",9
322,"9CJQ-HB2","Male",9
323,"L1DD-7FW","Female",9
324,"L8MB-C2W","Male",9
325,"L8MB-C2K","Female",9
326,"KJ8F-83C","Male",9
327,"L7XB-2CB","Female",9
328,"L29Z-B1X","Male",9
329,"L29Z-1SM","Female",9
332,"L24Y-BMB","Male",9
336,"LBYV-BRF","Male",9
337,"LJGB-5PH","Female",9
338,"LDKP-XSK","Male",9
339,"L4TY-77X","Female",9
342,"MYJQ-NKS","Male",9
343,"GHVC-X3D","Female",9
344,"LXMW-YN3","Male",9
345,"LZ8S-37Y","Female",9
346,"LBYV-BRF","Male",9
347,"LJGB-5PH","Female",9
352,"LZLC-1N1","Male",9
353,"LBG4-QCJ","Female",9
354,"L2GX-YL4","Male",9
355,"LVGT-VR4","Female",9
356,"LH5Y-DPG","Male",9
357,"GM7D-VJR","Female",9
358,"KZCQ-TNT","Male",9
359,"MY7K-ZJW","Female",9
384,"LZPL-844","Male",9
385,"L65X-NZV","Female",9
386,"LYTC-KG6","Male",9
387,"LKRN-CPF","Female",9
392,"KFB8-FTV","Male",9
393,"LC65-WB3","Female",9
394,"KGCB-6W3","Male",9
395,"9HCD-B98","Female",9
400,"LZTK-CY2","Male",9
401,"M1QX-XHD","Female",9
402,"9KQV-4VG","Male",9
403,"9KQV-ZQW","Female",9
410,"9F4S-LRC","Male",9
411,"L62D-87C","Female",9
416,"LK34-3DJ","Male",9
417,"2WMN-81N","Female",9
418,"LH3F-15C","Male",9
419,"LH3F-1GB","Female",9
420,"LH3F-15C","Male",9
421,"LH3F-1GB","Female",9
422,"KD1R-2KC","Male",9
423,"KZYZ-WSY","Female",9
424,"L7BY-S6Y","Male",9
425,"LZ6L-T97","Female",9
426,"MF7Y-X2S","Male",9
427,"KLXL-ZTM","Female",9
436,"GHYT-BYQ","Male",9
437,"MR43-7MB","Female",9
438,"M73H-C5N","Male",9
439,"L4MT-9SK","Female",9
440,"93R2-H8R","Male",9
441,"93R2-HDV","Female",9
444,"29WT-FSD","Male",9
445,"29WT-X1G","Female",9
446,"KCGJ-3RV","Male",9
447,"K63J-KZ5","Female",9
448,"MCD7-4W7","Male",9
449,"LZDX-C2B","Female",9
450,"LK3B-L1B","Male",9
451,"LK3B-G4Y","Female",9
452,"LHTV-TZV","Male",9
453,"LHTV-TC7","Female",9
454,"L7NL-98X","Male",9
455,"LKR2-GT7","Female",9
464,"L4BK-YP3","Male",9
465,"LC7P-L18","Female",9
466,"LZLK-QR5","Male",9
467,"LHNS-XK3","Female",9
468,"LCTG-JQ2","Male",9
469,"LCMF-R4D","Female",9
470,"9HZB-X72","Male",9
471,"L6ZX-D4Y","Female",9
472,"LCZM-2BH","Male",9
473,"MR1L-1CV","Female",9
474,"L623-3HW","Male",9
475,"H97F-YDS","Female",9
476,"LHW2-XDM","Male",9
477,"LYG8-BMH","Female",9
480,"LHY9-6FP","Male",9
481,"L6M4-Z1K","Female",9
482,"LVVH-QKS","Male",9
483,"LZYR-HQ1","Female",9
508,"L6RT-7RF","Male",9
509,"LVL6-1Y5","Female",9
